stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
7010B158131,158131,Ulsterbus Depot,,54.996629,-7.317866,,,,
7010B158241,158241,Magee Campus,,55.002956,-7.322545,,,,
7020IR0037,0,Lisburn,,54.513863,-6.045132,,,,
7020IR2162,0,Belfast,,54.594684,-5.939831,,,,
7040B107131,107131,Cullaville,,54.0620448123748,-6.64352516920916,,,,
7040B139481,139481,Newry,,54.168253,-6.339098,,,,
7040B139491,139491,Buttercrane SC,,54.172871,-6.340996,,,,
7040B139501,139501,Newry,,54.172227,-6.340441,,,,
7040B139511,139511,Newry,,54.168692,-6.339019,,,,
7040B139761,139761,Killeen Br,,54.131009,-6.346082,,,,
7040B139771,139771,Killeen Br,,54.131023,-6.346479,,,,
7040B139781,139781,Meigh Cross,,54.115863,-6.357129,,,,
7040B139791,139791,Meigh Cross,,54.115892,-6.357279,,,,
7040B150611,150611,Regional College,,54.176486,-6.34535,,,,
7040B156051,156051,Newry,,54.176002,-6.339467,,,,
7040B156061,156061,Newry Bus Station,,54.174999,-6.340145,,,,
7040IR0042,0,Newry,,54.188659,-6.362413,,,,
7040IR0045,0,Portadown,,54.424993,-6.445312,,,,
7040IR0090,0,Lurgan,,54.467011,-6.338528,,,,
7050B108081,108081,Enniskillen,,54.343694,-7.640079,,,,
7050B140871,140871,Derrylin,,54.191672,-7.565929,,,,
7050B1409001,140901,Bellanaleck,,54.2950047241065,-7.63801510677572,,,,
7050B141541,141541,Belleek,,54.476171,-8.094502,,,,
7050B1415501,141551,Bellanaleck,,54.2950580826928,-7.63783030428049,,,,
7050B141561,141561,Derrylin,,54.191678,-7.565736,,,,
7050B630091,630091,Letterbreen,,54.309287,-7.732686,,,,
7050B630101,630101,Letterbreen,,54.309493,-7.732162,,,,
7050B6310001,631001,Belcoo,,54.297258,-7.869896,,,,
7050B631071,631071,Loughview Drive,,54.297374,-7.870114,,,,
7060B152481,152481,Sion Mills,,54.784312,-7.471637,,,,
7060B156031,156031,Ballygawley,,54.456349,-7.033901,,,,
7060B157111,157111,Newtownstewart,,54.721891,-7.372982,,,,
7060B158031,158031,Ulsterbus Depot,,54.601343,-7.30175,,,,
7060B1581001,158101,Newtownstewart,,54.721774,-7.373015,,,,
7060B158121,158121,Bradley Way,,54.826507,-7.47009,,,,
7060B1581401,158141,Sion Mills,,54.785779,-7.472348,,,,
7060B158181,158181,Canal Street,,54.8277460618064,-7.46378639704708,,,,
821000005,12324,Carlow Inst,,52.8191,-6.94496,,,,
821000007,351871,Leighlinbridge,,52.736693,-6.975816,,,,
821000008,13228,Leighlinbridge,,52.7365,-6.97598,,,,
821000009,351831,Bagenalstown West,,52.7005,-6.96598,,,,
821000010,351821,Bagenalstown West,,52.70052,-6.96478,,,,
8210B0351841,351841,Royal Oak,,52.70218,-6.98459,,,,
8210B111621,111621,St Patrick's Avenue,,52.837124,-6.91467,,,,
8210B111891,111891,Sleaty Road,,52.844148,-6.939762,,,,
8210B1340201,134021,Hacketstown,,52.865375,-6.558453,,,,
8210B136061,136061,SETU Carlow,,52.8299811805242,-6.93597455431291,,,,
8210B136211,136211,Rathvilly,,52.8805507014169,-6.69556191940628,,,,
8210B136231,136231,Hacketstown,,52.865221,-6.558399,,,,
8210B153991,153991,Tullow North,,52.80482,-6.732506,,,,
8210B154001,154001,Tullow North,,52.804658,-6.732496,,,,
8210B202101,202101,Wexford Rd BP,,52.820615,-6.897133,,,,
8210B3355701,335571,Carlow Bus Stn,,52.833738,-6.926948,,,,
8210B3511401,351141,Rathvilly,,52.8806191573759,-6.69524785426883,,,,
8210B3511801,351181,Kildavin,,52.683916,-6.685386,,,,
8210B351711,351711,Ballon,,52.740188,-6.7704,,,,
8210B351721,351721,Ballon,,52.740087,-6.770225,,,,
8210B5981201,598121,SETU Carlow,,52.830054,-6.936121,,,,
8210CO11091,201001,Carlow Inst,,52.819187,-6.94511,,,,
8210CO11092,11092,Carraig Abhainn,,52.825857,-6.937188,,,,
8210CO11093,110931,Bourlum Wood,,52.823409,-6.935764,,,,
8210CO11094,110941,SETU Green Road,,52.825497,-6.934096,,,,
8210CO11095,110951,New Street,,52.829729,-6.93095,,,,
8210CO11096,110961,Hanover Road,,52.831403,-6.929143,,,,
8210CO11098,110981,Fire Station,,52.83703,-6.92286,,,,
8210CO11099,110991,Green Lane,,52.841239,-6.917605,,,,
8210CO11100,111001,Deerpark Rnbt,,52.845026,-6.910029,,,,
8210CO11101,111011,Enterprise B Pk,,52.840432,-6.909015,,,,
8210CO11102,201041,Sandhills,,52.839602,-6.904687,,,,
8210CO11103,201051,Burrindale,,52.841719,-6.902289,,,,
8210CO11104,111041,Beechwood Park,,52.844729,-6.899318,,,,
8210CO11105,201061,Tinteán Coille,,52.846753,-6.895674,,,,
8210CO11106,201111,MSD Carlow,,52.854254,-6.884615,,,,
8210CO11108,111231,Tinteán Coille,,52.846705,-6.895259,,,,
8210CO11109,111091,Beechwood Park,,52.844924,-6.898986,,,,
8210CO11110,111101,Burrindale,,52.84195,-6.902001,,,,
8210CO11111,111241,Sandhills,,52.839411,-6.907423,,,,
8210CO11112,111121,Enterprise B Pk,,52.840884,-6.909271,,,,
8210CO11113,111131,Deerpark Rnbt,,52.844784,-6.910183,,,,
8210CO11114,111141,Green Lane,,52.84178,-6.916849,,,,
8210CO11115,111151,Fire Station,,52.83698,-6.922727,,,,
8210CO11117,111171,Hanover Road,,52.831857,-6.928657,,,,
8210CO11118,111181,New Street,,52.829034,-6.931546,,,,
8210CO11119,111191,SETU Green Road,,52.825738,-6.933882,,,,
8210CO11120,111201,Bourlum Wood,,52.823008,-6.9361,,,,
8210CO11121,111211,Carraig Abhainn,,52.825967,-6.937364,,,,
8210CO11122,111221,Rath Abhainn,,52.822572,-6.941705,,,,
8210CO11123,201011,Carlow Inst,,52.819176383642,-6.94491773727636,,,,
8210CO11125,111251,Sleaty Road,,52.844,-6.939655,,,,
8210CO11126,111261,Sleaty Street,,52.840491,-6.938241,,,,
8210CO11127,113911,Maryborough Street,,52.837085,-6.938369,,,,
8210CO11128,111281,Carlow Cstl,,52.836621,-6.935753,,,,
8210CO11129,111291,Kennedy Avenue,,52.835658,-6.931546,,,,
8210CO11132,111321,Pollerton Road,,52.836836,-6.918723,,,,
8210CO11133,111331,St Patrick's Avenue,,52.837255,-6.914409,,,,
8210CO11134,111341,Castlewood Gdns,,52.838683,-6.91136,,,,
8210CO11135,113921,Askea,,52.835379,-6.91079,,,,
8210CO11138,113951,Tullow Road,,52.831465,-6.907311,,,,
8210CO11139,111391,The Orchards,,52.8299889505304,-6.90325209027016,,,,
8210CO11140,113961,Chapelstown,,52.82797,-6.899742,,,,
8210CO11143,111431,Chapelstown,,52.827806,-6.899493,,,,
8210CO11145,112031,Tullow Road,,52.831191,-6.906873,,,,
8210CO11146,113931,Ashgrove,,52.830639,-6.912407,,,,
8210CO11147,113941,Mount Leinster Park,,52.833066,-6.9134,,,,
8210CO11148,111461,Askea,,52.835257,-6.911193,,,,
8210CO11149,111601,Castlewood Gdns,,52.838257,-6.911979,,,,
8210CO11151,113131,Pollerton Road,,52.836699,-6.919424,,,,
8210CO11154,111821,Kennedy Avenue,,52.835423,-6.931463,,,,
8210CO11155,111861,Carlow Cstl,,52.836651,-6.936064,,,,
8210CO11156,111871,Maryborough Street,,52.837867,-6.938305,,,,
8210CO11157,111881,Sleaty Street,,52.839859,-6.938004,,,,
8210CO11159,202001,Barrow Valley,,52.84543,-6.94105,,,,
8210CO11444,111421,The Orchards,,52.830137,-6.903679,,,,
8210IR0001,0,Muine Bheag (Bagenalstown),,52.69918,-6.952653,,,,
8210IR0002,0,Carlow,,52.840788,-6.922622,,,,
8210LL10441,14527,Bagenalstown North,,52.703237,-6.955709,,,,
8210LL10452,14518,Bagenalstown North,,52.70332,-6.95592,,,,
8210PB000008,351811,Royal Oak,,52.7024,-6.98482,,,,
822008203,8203,Visitor Centre,,53.36469,-6.33167,,,,
822008204,8204,Áras an Uachtaráin,,53.35938,-6.32384,,,,
822008205,8205,Dublin Zoo,,53.35173,-6.30548,,,,
822008206,8206,Park Gates,,53.34884,-6.29777,,,,
822008208,8208,Park Gates,,53.348995,-6.298737,,,,
822008209,8209,Dublin Zoo,,53.35169,-6.3057,,,,
822008210,8210,Áras an Uachtaráin,,53.358951,-6.32316,,,,
82202B008257,8257,St Kevin's College,,53.385027,-6.278198,,,,
8220B008367,8367,Broombridge,,53.372326,-6.299488,,,,
8220B1000401,100041,Clare Street,,53.341434,-6.251562,,,,
8220B100461,100461,Merrion Road,,53.3283555138789,-6.22837542799152,,,,
8220B1009001,100901,North Road,,53.4001982314926,-6.30834665852557,,,,
8220B1011301,101131,North Road,,53.40014650036,-6.30786746825518,,,,
8220B1011501,101151,Glasnevin,,53.369942933041,-6.27806175078419,,,,
8220B1021101,102111,Bachelors Walk,,53.346833,-6.262471,,,,
8220B1046101,104611,Merrion Row,,53.3385331896343,-6.25480444135106,,,,
8220B106421,106421,3Arena,,53.346899,-6.229431,,,,
8220B10995,10995,Heuston Station,,53.34587,-6.29366,,,,
8220B111761,111761,Westland Row Church,,53.342626,-6.250132,,,,
8220B111771,111771,Irish Life,,53.349115,-6.255619,,,,
8220B134961,134961,Dublin Busáras,,53.349913,-6.252387,,,,
8220B135001,135001,Dublin Busáras,,53.34981,-6.25203,,,,
8220B1350301,135031,Beresford Place,,53.3487549295197,-6.25495768638166,,,,
8220B1351001,135101,Wellington Quay,,53.3458641751298,-6.26381729294171,,,,
8220B1351201,135121,Connolly Station,,53.350218,-6.250527,,,,
8220B1351401,135141,George's Quay,,53.34737,-6.25346,,,,
8220B1352701,135271,Custom Hse Quay,,53.348359,-6.253712,,,,
8220B1353101,135311,Wilton Terrace,,53.333451,-6.249021,,,,
8220B1353301,135331,Dawson Street,,53.340134371715,-6.25858361137312,,,,
8220B1353501,135351,Eden Quay,,53.3478,-6.258496,,,,
8220B1354001,135401,Heuston Station,,53.346033,-6.292647,,,,
8220B135411,135411,Wilton Terrace,,53.333421,-6.249085,,,,
8220B1354201,135421,Heuston Station,,53.34622,-6.29257,,,,
8220B211521,211521,Merrion Sq West,,53.3409101463996,-6.25078764576979,,,,
8220B3551501,355151,Vincent's Hospital,,53.317358,-6.215983,,,,
8220DB000002,2,Parnell Square West,,53.3522443611383,-6.26372321891887,,,,
8220DB000003,3,Parnell Sq West,,53.352309,-6.263811,,,,
8220DB000005,5,Parnell Square West,,53.3525736395204,-6.26411543286632,,,,
8220DB000007,7,Parnell Sq West,,53.352841,-6.26457,,,,
8220DB000008,8,Parnell Sq West,,53.353272,-6.265184,,,,
8220DB000010,10,Parnell Square West,,53.3533921036473,-6.26538912389954,,,,
8220DB000011,11,St Joseph's Parade,,53.3568152335295,-6.26467919507526,,,,
8220DB000012,12,Dorset Street Upr,,53.357107,-6.264382,,,,
8220DB000014,14,Eccles Place,,53.358531,-6.262777,,,,
8220DB000015,15,Dorset Street Lwr,,53.360267,-6.260978,,,,
8220DB000016,16,John Paul Park,,53.36644,-6.30565,,,,
8220DB000017,17,Drumcondra Stn,,53.363078,-6.258399,,,,
8220DB000018,18,Archbishop's House,,53.365856,-6.255957,,,,
8220DB000019,19,Botanic Ave,,53.367235,-6.2556,,,,
8220DB000021,21,Drumcondra Village,,53.370101,-6.254311,,,,
8220DB000022,22,Home Farm Road,,53.3735036097406,-6.25280375269006,,,,
8220DB000023,23,Ferguson Road,,53.3742282800791,-6.256261004167,,,,
8220DB000024,24,Walsh Road,,53.3751331588841,-6.26037234812319,,,,
8220DB000025,25,Rathlin Road,,53.3758994661474,-6.26361773641709,,,,
8220DB000027,27,Ballymun Road,,53.3794389600107,-6.26658526126003,,,,
8220DB000028,28,Hampstead Avenue,,53.381578637628,-6.26600227077738,,,,
8220DB000029,29,Albert College Park,,53.3834882529457,-6.26566910125417,,,,
8220DB000030,30,Ventry Park,,53.370331900193,-6.30460116922913,,,,
8220DB000031,31,St Pappin's Road,,53.3860332259144,-6.268858077275,,,,
8220DB000032,32,Stormanstown Road,,53.3861955680738,-6.2713772010414,,,,
8220DB000033,33,Glasnevin Drive,,53.3887179243058,-6.27177114122451,,,,
8220DB000035,35,Dean Swift Road,,53.3862067871013,-6.270910692541,,,,
8220DB000036,36,Maolbuille Road,,53.386126850411,-6.26787706978339,,,,
8220DB000037,37,DCU Ballymun Road,,53.385346401194,-6.26488698131794,,,,
8220DB000038,38,Hampstead Avenue,,53.3822365941636,-6.26550952120506,,,,
